candidate_id,rank,score,reasoning
CAND_0005649,13,0.7108,"Senior AI Engineer profile with 7.4 years of experience, currently working as Senior Data Scientist at Sarvam AI. Strong match for the JD requirements; demonstrated production expertise in Fine-tuning LLMs, Semantic Search, Weaviate. Highlights include: strong GitHub contribut..."
CAND_0042029,14,0.7012,"Senior AI Engineer profile with 6.5 years of experience, currently working as Senior Data Scientist at Flipkart. Strong match for the JD requirements; demonstrated production expertise in Elasticsearch, Embeddings, Learning to Rank. Highlights include: strong GitHub contributi..."
CAND_0066999,15,0.6910,"Senior AI Engineer profile with 5.9 years of experience, currently working as Recommendation Systems Engineer at Microsoft. Strong match for the JD requirements; demonstrated production expertise in Information Retrieval, OpenSearch. Highlights include: strong GitHub contribut..."
CAND_0081053,16,0.6847,"Senior AI Engineer profile with 5.4 years of experience, currently working as NLP Engineer at Glance. Strong match for the JD requirements; demonstrated production expertise in Learning to Rank, LoRA, Qdrant. Highlights include: strong GitHub contributions (score: 78), and hig..."
CAND_0054394,17,0.6779,"Senior AI Engineer profile with 4.1 years of experience, currently working as Recommendation Systems Engineer at PharmEasy. Strong match for the JD requirements; demonstrated production expertise in Embeddings, Fine-tuning LLMs, Pinecone. Highlights include: immediate availabi..."
CAND_0046525,18,0.6728,"Senior AI Engineer profile with 6.1 years of experience, currently working as Senior Machine Learning Engineer at Genpact AI. Strong match for the JD requirements; demonstrated production expertise in Elasticsearch, Information Retrieval, Qdrant. Highlights include: high respo..."
CAND_0046459,19,0.6616,"Senior AI Engineer profile with 4.5 years of experience, currently working as AI Research Engineer at upGrad. Strong match for the JD requirements; demonstrated production expertise in Python, Qdrant, Semantic Search. Highlights include: immediate availability (30 days notice)..."
CAND_0086022,20,0.6580,"Senior AI Engineer profile with 5.3 years of experience, currently working as Senior Applied Scientist at Sarvam AI. Strong match for the JD requirements; demonstrated production expertise in Embeddings, Fine-tuning LLMs, Pinecone. Highlights include: strong GitHub contributio..."
CAND_0015578,21,0.6432,"Senior AI Engineer profile with 5.4 years of experience, currently working as AI Engineer at Zoho. Strong match for the JD requirements; demonstrated production expertise in Embeddings, Pinecone, QLoRA. Note: has a longer notice period of 90 days, which we will need to buy out."
CAND_0062247,22,0.6324,"Senior AI Engineer profile with 7.3 years of experience, currently working as AI Engineer at Google. Strong match for the JD requirements; demonstrated production expertise in Information Retrieval, Learning to Rank, PEFT. Highlights include: strong GitHub contributions (score..."
CAND_0006567,23,0.6318,"Senior AI Engineer profile with 7.9 years of experience, currently working as Senior AI Engineer at Meta. Strong match for the JD requirements; demonstrated production expertise in Python, Ranking Systems. Highlights include: high responsiveness on the platform (79%). Excellen..."
CAND_0018888,24,0.6308,"Senior AI Engineer profile with 6.5 years of experience, currently working as AI Research Engineer at Razorpay. Strong match for the JD requirements; demonstrated production expertise in FAISS, Information Retrieval. Highlights include: strong GitHub contributions (score: 51),..."
CAND_0081852,25,0.6296,"Senior AI Engineer profile with 5.9 years of experience, currently working as Senior Data Scientist at Mad Street Den. Strong match for the JD requirements; demonstrated production expertise in LoRA, Milvus, Semantic Search. Highlights include: strong GitHub contributions (sco..."
CAND_0045250,26,0.6256,"Senior AI Engineer profile with 6.6 years of experience, currently working as Applied ML Engineer at Rephrase.ai. Strong match for the JD requirements; demonstrated production expertise in LoRA, Milvus, PEFT. Highlights include: immediate availability (15 days notice), and hig..."
CAND_0043637,27,0.6255,"Senior AI Engineer profile with 5.5 years of experience, currently working as Junior ML Engineer at Rephrase.ai. Strong match for the JD requirements; demonstrated production expertise in Learning to Rank, Milvus, QLoRA. Highlights include: high responsiveness on the platform ..."
CAND_0067866,28,0.6182,"Senior AI Engineer profile with 6.4 years of experience, currently working as Senior Software Engineer (ML) at Tech Mahindra. Strong match for the JD requirements; demonstrated production expertise in Elasticsearch, Embeddings, LoRA. Highlights include: high responsiveness on ..."
CAND_0073620,29,0.6031,"Senior AI Engineer profile with 4.4 years of experience, currently working as AI Research Engineer at TCS. Strong match for the JD requirements; demonstrated production expertise in FAISS, LoRA, Python. Note: has a longer notice period of 90 days, which we will need to buy out."
CAND_0006418,30,0.6025,"Senior AI Engineer profile with 5.7 years of experience, currently working as Machine Learning Engineer at Verloop.io. Strong match for the JD requirements; demonstrated production expertise in Learning to Rank, Semantic Search, Weaviate. Highlights include: strong GitHub cont..."
CAND_0072688,31,0.6015,"Senior AI Engineer profile with 6.9 years of experience, currently working as Data Scientist at Niramai. Strong match for the JD requirements; demonstrated production expertise in LoRA, Milvus, Qdrant. Highlights include: high responsiveness on the platform (87%). Excellent ca..."
CAND_0054546,32,0.5950,"Senior AI Engineer profile with 4.9 years of experience, currently working as AI Research Engineer at Razorpay. Strong match for the JD requirements; demonstrated production expertise in Learning to Rank, LoRA, Qdrant. Highlights include: strong GitHub contributions (score: 75..."
CAND_0083879,33,0.5890,"Senior AI Engineer profile with 7.1 years of experience, currently working as Machine Learning Engineer at Ola. Strong match for the JD requirements; demonstrated production expertise in Fine-tuning LLMs, Milvus, Sentence Transformers. Highlights include: immediate availabilit..."
CAND_0009837,34,0.5828,"Senior AI Engineer profile with 4.3 years of experience, currently working as Senior Data Scientist at Rephrase.ai. Strong match for the JD requirements; demonstrated production expertise in FAISS, Learning to Rank, Python. Highlights include: strong GitHub contributions (scor..."
CAND_0004402,35,0.5775,"Senior AI Engineer profile with 6.0 years of experience, currently working as AI Research Engineer at Yellow.ai. Strong match for the JD requirements; demonstrated production expertise in Learning to Rank, OpenSearch, PEFT. Highlights include: high responsiveness on the platfo..."
CAND_0093763,36,0.5743,"Senior AI Engineer profile with 5.0 years of experience, currently working as Senior Software Engineer (ML) at Swiggy. Strong match for the JD requirements; demonstrated production expertise in FAISS, Sentence Transformers. Highlights include: high responsiveness on the platfo..."
CAND_0048558,37,0.5742,"Senior AI Engineer profile with 6.7 years of experience, currently working as Data Scientist at Rephrase.ai. Strong match for the JD requirements; demonstrated production expertise in Information Retrieval, OpenSearch. Highlights include: immediate availability (30 days notice..."
CAND_0020954,38,0.5691,"Senior AI Engineer profile with 7.1 years of experience, currently working as Senior Software Engineer at Swiggy. Strong match for the JD requirements; demonstrated production expertise in Elasticsearch, Python, Semantic Search. Highlights include: strong GitHub contributions ..."
CAND_0041610,39,0.5639,"Senior AI Engineer profile with 6.7 years of experience, currently working as Recommendation Systems Engineer at Zoho. Strong match for the JD requirements; demonstrated production expertise in Elasticsearch, Embeddings, Learning to Rank. Highlights include: strong GitHub cont..."
CAND_0080766,40,0.5631,"Senior AI Engineer profile with 8.8 years of experience, currently working as Staff Machine Learning Engineer at Salesforce. Strong match for the JD requirements; demonstrated production expertise in Elasticsearch, Information Retrieval Systems, LoRA. Highlights include: immed..."
CAND_0000859,41,0.5598,"Senior AI Engineer profile with 5.9 years of experience, currently working as Senior Software Engineer at Vedantu. Strong match for the JD requirements; demonstrated production expertise in Pinecone, Semantic Search. Highlights include: strong GitHub contributions (score: 74),..."
CAND_0007596,42,0.5587,"Senior AI Engineer profile with 4.4 years of experience, currently working as Junior ML Engineer at Flipkart. Strong match for the JD requirements; demonstrated production expertise in LoRA, Python, Semantic Search. Highlights include: high responsiveness on the platform (86%)..."
CAND_0050454,43,0.5572,"Senior AI Engineer profile with 6.8 years of experience, currently working as AI Engineer at Rephrase.ai. Strong match for the JD requirements; demonstrated production expertise in FAISS, QLoRA. Highlights include: immediate availability (30 days notice), and high responsivene..."
CAND_0039587,44,0.5528,"Senior AI Engineer profile with 6.2 years of experience, currently working as Data Engineer at HCL. Strong match for the JD requirements; demonstrated production expertise in Sentence Transformers, Weaviate. Highlights include: strong GitHub contributions (score: 68), and imme..."
CAND_0099806,45,0.5520,"Senior AI Engineer profile with 4.6 years of experience, currently working as AI Engineer at Mad Street Den. Strong match for the JD requirements; demonstrated production expertise in Embeddings, FAISS, LoRA. Highlights include: strong GitHub contributions (score: 87), and imm..."
CAND_0069638,46,0.5514,"Senior AI Engineer profile with 6.2 years of experience, currently working as Computer Vision Engineer at Swiggy. Strong match for the JD requirements; demonstrated production expertise in Fine-tuning LLMs, Pinecone, Semantic Search. Highlights include: immediate availability ..."
CAND_0011162,47,0.5497,"Senior AI Engineer profile with 5.8 years of experience, currently working as Recommendation Systems Engineer at upGrad. Strong match for the JD requirements; demonstrated production expertise in Embeddings, FAISS, LoRA. Highlights include: high responsiveness on the platform ..."
CAND_0083852,48,0.5483,"Senior AI Engineer profile with 6.0 years of experience, currently working as Data Scientist at Mad Street Den. Strong match for the JD requirements; demonstrated production expertise in Information Retrieval, Pinecone, QLoRA. Highlights include: strong GitHub contributions (s..."
CAND_0085754,49,0.5478,"Senior AI Engineer profile with 7.4 years of experience, currently working as Backend Engineer at Freshworks. Strong match for the JD requirements; demonstrated production expertise in Embeddings, QLoRA, Vector Search. Excellent candidate located in Delhi, Delhi."
CAND_0036437,50,0.5476,"Senior AI Engineer profile with 4.8 years of experience, currently working as Search Engineer at Rephrase.ai. Strong match for the JD requirements; demonstrated production expertise in OpenSearch, Sentence Transformers. Highlights include: immediate availability (30 days notic..."
CAND_0047542,51,0.5470,"Senior AI Engineer profile with 5.0 years of experience, currently working as Senior Software Engineer (ML) at Meesho. Strong match for the JD requirements; demonstrated production expertise in Learning to Rank, PEFT, Sentence Transformers. Highlights include: high responsiven..."
CAND_0068811,52,0.5452,"Senior AI Engineer profile with 8.0 years of experience, currently working as Applied ML Engineer at Freshworks. Strong match for the JD requirements; demonstrated production expertise in Embeddings, PEFT, Vector Search. Highlights include: immediate availability (30 days noti..."
CAND_0009307,53,0.5364,"Senior AI Engineer profile with 3.3 years of experience, currently working as Data Engineer at Zomato. Strong match for the JD requirements; demonstrated production expertise in Fine-tuning LLMs, Information Retrieval, Python. Highlights include: strong GitHub contributions (s..."
CAND_0082086,54,0.5341,"Senior AI Engineer profile with 6.0 years of experience, currently working as Senior Software Engineer (ML) at Razorpay. Strong match for the JD requirements; demonstrated production expertise in FAISS, QLoRA. Highlights include: strong GitHub contributions (score: 83), and hi..."
CAND_0030468,55,0.5335,"Senior AI Engineer profile with 5.4 years of experience, currently working as Senior Applied Scientist at Swiggy. Strong match for the JD requirements; demonstrated production expertise in Information Retrieval Systems, OpenSearch, Ranking Systems. Highlights include: high res..."
CAND_0017093,56,0.5331,"Senior AI Engineer profile with 5.9 years of experience, currently working as ML Engineer at Zoho. Strong match for the JD requirements; demonstrated production expertise in Embeddings, Learning to Rank. Highlights include: strong GitHub contributions (score: 84), and immediat..."
CAND_0030348,57,0.5278,"Senior AI Engineer profile with 4.5 years of experience, currently working as Machine Learning Engineer at BYJU'S. Strong match for the JD requirements; demonstrated production expertise in Embeddings, Python, Vector Search. Experience (4.5 years) is slightly below the 5-9 yea..."
CAND_0051004,58,0.5261,"Senior AI Engineer profile with 4.7 years of experience, currently working as Senior Data Scientist at CRED. Strong match for the JD requirements; demonstrated production expertise in Embeddings, PEFT, Qdrant. Highlights include: immediate availability (15 days notice). Experi..."
CAND_0070514,59,0.5256,"Senior AI Engineer profile with 5.5 years of experience, currently working as AI Specialist at Glance. Strong match for the JD requirements; demonstrated production expertise in OpenSearch, PEFT, Pinecone. Highlights include: high responsiveness on the platform (80%). Excellen..."
CAND_0037980,60,0.5234,"Senior AI Engineer profile with 9.0 years of experience, currently working as Senior Applied Scientist at Niramai. Strong match for the JD requirements; demonstrated production expertise in Information Retrieval Systems, LoRA. Highlights include: immediate availability (0 days..."
CAND_0059017,61,0.5234,"Senior AI Engineer profile with 6.8 years of experience, currently working as AI Research Engineer at PhonePe. Strong match for the JD requirements; demonstrated production expertise in FAISS, Python, QLoRA. Highlights include: strong GitHub contributions (score: 76), and high..."
CAND_0037566,62,0.5216,"Senior AI Engineer profile with 6.9 years of experience, currently working as Machine Learning Engineer at LinkedIn. Strong match for the JD requirements; demonstrated production expertise in LoRA, Pinecone, QLoRA. Highlights include: strong GitHub contributions (score: 73), a..."
CAND_0005260,63,0.5192,"Senior AI Engineer profile with 5.2 years of experience, currently working as Senior NLP Engineer at Netflix. Strong match for the JD requirements; demonstrated production expertise in Information Retrieval, LoRA, Python. Highlights include: high responsiveness on the platform..."
CAND_0089947,64,0.5123,"Senior AI Engineer profile with 5.4 years of experience, currently working as Junior ML Engineer at Saarthi.ai. Strong match for the JD requirements; demonstrated production expertise in Information Retrieval, PEFT, Vector Search. Note: has a longer notice period of 90 days, w..."
CAND_0053605,65,0.5122,"Senior AI Engineer profile with 6.9 years of experience, currently working as Senior Software Engineer (ML) at Verloop.io. Strong match for the JD requirements; demonstrated production expertise in Semantic Search. Highlights include: immediate availability (30 days notice), a..."
CAND_0073982,66,0.5110,"Senior AI Engineer profile with 7.0 years of experience, currently working as Data Scientist at Dream11. Strong match for the JD requirements; demonstrated production expertise in FAISS, Fine-tuning LLMs, PEFT. Excellent candidate located in Delhi, Delhi."
CAND_0000987,67,0.5088,"Senior AI Engineer profile with 4.7 years of experience, currently working as Sales Executive at Dunder Mifflin. Strong match for the JD requirements; demonstrated production expertise in FAISS, Fine-tuning LLMs, Information Retrieval. Note: has a longer notice period of 90 da..."
CAND_0010149,68,0.5087,"Senior AI Engineer profile with 6.9 years of experience, currently working as ML Engineer at Glance. Strong match for the JD requirements; demonstrated production expertise in Learning to Rank, Milvus, PEFT. Highlights include: high responsiveness on the platform (82%). Note: ..."
CAND_0032216,69,0.5080,"Senior AI Engineer profile with 6.1 years of experience, currently working as ML Engineer at upGrad. Strong match for the JD requirements; demonstrated production expertise in Information Retrieval, Learning to Rank, QLoRA. Highlights include: immediate availability (30 days n..."
CAND_0058575,70,0.5042,"Senior AI Engineer profile with 5.8 years of experience, currently working as AI Engineer at Krutrim. Strong match for the JD requirements; demonstrated production expertise in Pinecone, Sentence Transformers. Note: has a longer notice period of 90 days, which we will need to ..."
CAND_0090155,71,0.5032,"Senior AI Engineer profile with 5.8 years of experience, currently working as ML Engineer at Swiggy. Strong match for the JD requirements; demonstrated production expertise in Milvus, PEFT, Pinecone. Highlights include: strong GitHub contributions (score: 76). Note: has a long..."
CAND_0044855,72,0.5026,"Senior AI Engineer profile with 6.6 years of experience, currently working as Senior Data Scientist at Flipkart. Strong match for the JD requirements; demonstrated production expertise in Information Retrieval, Learning to Rank, OpenSearch. Excellent candidate located in Coimb..."
CAND_0019845,73,0.4944,"Senior AI Engineer profile with 3.4 years of experience, currently working as AI Specialist at Zomato. Strong match for the JD requirements; demonstrated production expertise in Fine-tuning LLMs, Learning to Rank, Pinecone. Highlights include: immediate availability (30 days n..."
CAND_0003841,74,0.4935,"Senior AI Engineer profile with 5.0 years of experience, currently working as ML Engineer at Tech Mahindra. Strong match for the JD requirements; demonstrated production expertise in Fine-tuning LLMs, Pinecone, Sentence Transformers. Highlights include: immediate availability ..."
CAND_0098217,75,0.4929,"Senior AI Engineer profile with 6.4 years of experience, currently working as ML Engineer at Glance. Strong match for the JD requirements; demonstrated production expertise in FAISS, Learning to Rank, PEFT. Highlights include: strong GitHub contributions (score: 81), and high ..."
CAND_0097644,76,0.4868,"Senior AI Engineer profile with 4.6 years of experience, currently working as Senior Software Engineer at Mphasis. Strong match for the JD requirements; demonstrated production expertise in Elasticsearch, PEFT, Sentence Transformers. Highlights include: high responsiveness on ..."
CAND_0008978,77,0.4866,"Senior AI Engineer profile with 6.7 years of experience, currently working as Junior ML Engineer at Tech Mahindra. Strong match for the JD requirements; demonstrated production expertise in Elasticsearch, Embeddings, FAISS. Highlights include: strong GitHub contributions (scor..."
CAND_0094799,78,0.4860,"Senior AI Engineer profile with 6.1 years of experience, currently working as Backend Engineer at Pied Piper. Strong match for the JD requirements; demonstrated production expertise in Fine-tuning LLMs, Pinecone, Python. Highlights include: immediate availability (30 days noti..."
CAND_0091909,79,0.4859,"Senior AI Engineer profile with 6.9 years of experience, currently working as Machine Learning Engineer at Rephrase.ai. Strong match for the JD requirements; demonstrated production expertise in Learning to Rank, Pinecone, QLoRA. Excellent candidate located in Bangalore, Karna..."
CAND_0066179,80,0.4854,"Senior AI Engineer profile with 4.2 years of experience, currently working as Senior Software Engineer at Vedantu. Strong match for the JD requirements; demonstrated production expertise in Embeddings, Milvus, OpenSearch. Note: has a longer notice period of 90 days, which we w..."
CAND_0049120,81,0.4851,"Senior AI Engineer profile with 7.4 years of experience, currently working as Project Manager at Wayne Enterprises. Strong match for the JD requirements; demonstrated production expertise in Fine-tuning LLMs, Sentence Transformers, Vector Search. Excellent candidate located in..."
CAND_0064270,82,0.4805,"Senior AI Engineer profile with 4.2 years of experience, currently working as Applied ML Engineer at Verloop.io. Strong match for the JD requirements; demonstrated production expertise in Elasticsearch, Embeddings, Learning to Rank. Highlights include: high responsiveness on t..."
CAND_0079064,83,0.4790,"Senior AI Engineer profile with 5.2 years of experience, currently working as Senior Data Scientist at Niramai. Strong match for the JD requirements; demonstrated production expertise in Fine-tuning LLMs, OpenSearch, Semantic Search. Highlights include: high responsiveness on ..."
CAND_0066610,84,0.4765,"Senior AI Engineer profile with 6.1 years of experience, currently working as Software Engineer at Tech Mahindra. Strong match for the JD requirements; demonstrated production expertise in Information Retrieval, Learning to Rank, Milvus. Excellent candidate located in Pune, Ma..."
CAND_0043829,85,0.4748,"Senior AI Engineer profile with 4.8 years of experience, currently working as AI Research Engineer at Observe.AI. Strong match for the JD requirements; demonstrated production expertise in Information Retrieval, Qdrant. Highlights include: high responsiveness on the platform (..."
CAND_0040178,86,0.4711,"Senior AI Engineer profile with 5.0 years of experience, currently working as ML Engineer at Meesho. Strong match for the JD requirements; demonstrated production expertise in Fine-tuning LLMs, Learning to Rank, Python. Excellent candidate located in Pune, Maharashtra."
CAND_0023030,87,0.4703,"Senior AI Engineer profile with 5.8 years of experience, currently working as Content Writer at Dunder Mifflin. Strong match for the JD requirements; demonstrated production expertise in Fine-tuning LLMs, Information Retrieval. Highlights include: immediate availability (30 da..."
CAND_0064888,88,0.4694,"Senior AI Engineer profile with 5.8 years of experience, currently working as ML Engineer at Verloop.io. Strong match for the JD requirements; demonstrated production expertise in Elasticsearch, Embeddings, Fine-tuning LLMs. Highlights include: immediate availability (30 days ..."
CAND_0059839,89,0.4681,"Senior AI Engineer profile with 9.5 years of experience, currently working as Civil Engineer at Initech. Strong match for the JD requirements; demonstrated production expertise in Embeddings, FAISS, Fine-tuning LLMs. Highlights include: immediate availability (30 days notice),..."
CAND_0098454,90,0.4642,"Senior AI Engineer profile with 6.6 years of experience, currently working as AI Specialist at Meesho. Strong match for the JD requirements; demonstrated production expertise in Embeddings, OpenSearch, Vector Search. Highlights include: high responsiveness on the platform (87%..."
CAND_0043860,91,0.4608,"Senior AI Engineer profile with 6.1 years of experience, currently working as Junior ML Engineer at Aganitha. Strong match for the JD requirements; demonstrated production expertise in Qdrant, Semantic Search. Highlights include: immediate availability (30 days notice), and hi..."
CAND_0015065,92,0.4592,"Senior AI Engineer profile with 3.9 years of experience, currently working as AI Research Engineer at Flipkart. Strong match for the JD requirements; demonstrated production expertise in Embeddings, Information Retrieval, Learning to Rank. Highlights include: high responsivene..."
CAND_0011383,93,0.4569,"Senior AI Engineer profile with 6.6 years of experience, currently working as Mechanical Engineer at Wayne Enterprises. Strong match for the JD requirements; demonstrated production expertise in Embeddings, FAISS, Fine-tuning LLMs. Excellent candidate located in Noida, Uttar P..."
CAND_0020877,94,0.4560,"Senior AI Engineer profile with 5.1 years of experience, currently working as Applied ML Engineer at CRED. Strong match for the JD requirements; demonstrated production expertise in Elasticsearch, Information Retrieval, QLoRA. Highlights include: strong GitHub contributions (s..."
CAND_0046132,95,0.4545,"Senior AI Engineer profile with 4.3 years of experience, currently working as AI Research Engineer at Verloop.io. Strong match for the JD requirements; demonstrated production expertise in Fine-tuning LLMs, Information Retrieval. Highlights include: immediate availability (30 ..."
CAND_0047721,96,0.4533,"Senior AI Engineer profile with 7.0 years of experience, currently working as Senior Data Scientist at Microsoft. Strong match for the JD requirements; demonstrated production expertise in Information Retrieval, Learning to Rank, Milvus. Highlights include: strong GitHub contr..."
CAND_0033179,97,0.4515,"Senior AI Engineer profile with 6.9 years of experience, currently working as AI Research Engineer at Wipro. Strong match for the JD requirements; demonstrated production expertise in Fine-tuning LLMs, Information Retrieval, OpenSearch. Highlights include: immediate availabili..."
CAND_0044213,98,0.4495,"Senior AI Engineer profile with 3.7 years of experience, currently working as AI Specialist at Haptik. Strong match for the JD requirements; demonstrated production expertise in Information Retrieval, LoRA, Python. Highlights include: strong GitHub contributions (score: 69), a..."
CAND_0074486,99,0.4492,"Senior AI Engineer profile with 5.5 years of experience, currently working as Computer Vision Engineer at Nykaa. Strong match for the JD requirements; demonstrated production expertise in OpenSearch. Highlights include: strong GitHub contributions (score: 68), and immediate av..."
CAND_0002025,100,0.4482,"Senior AI Engineer profile with 5.9 years of experience, currently working as Senior AI Engineer at Apple. Strong match for the JD requirements; demonstrated production expertise in FAISS, Python, QLoRA. Highlights include: strong GitHub contributions (score: 97), and immediat..."
